datetime,energy_kwh,hour,day_of_week,is_weekend,prev_hour_energy,rolling_3h_avg,rolling_6h_avg,target_next_hour
2023-01-01 05:00:00,955.92,5,6,1,967.98,984.9833333333332,996.1216666666666,1097.38
2023-01-01 06:00:00,1097.38,6,6,1,955.92,1007.0933333333332,1009.8683333333335,1111.85
2023-01-01 07:00:00,1111.85,7,6,1,1097.38,1055.05,1029.485,1190.92
2023-01-01 08:00:00,1190.92,8,6,1,1111.85,1133.3833333333332,1059.1833333333334,1252.34
2023-01-01 09:00:00,1252.34,9,6,1,1190.92,1185.0366666666666,1096.065,1246.0
2023-01-01 10:00:00,1246.0,10,6,1,1252.34,1229.7533333333333,1142.4016666666666,1260.92
2023-01-01 11:00:00,1260.92,11,6,1,1246.0,1253.0866666666666,1193.2350000000001,1287.26
2023-01-01 12:00:00,1287.26,12,6,1,1260.92,1264.7266666666667,1224.881666666667,1217.49
2023-01-01 13:00:00,1217.49,13,6,1,1287.26,1255.2233333333334,1242.4883333333335,1208.16
2023-01-01 14:00:00,1208.16,14,6,1,1217.49,1237.6366666666665,1245.3616666666667,1219.2
2023-01-01 15:00:00,1219.2,15,6,1,1208.16,1214.95,1239.8383333333334,1174.62
2023-01-01 16:00:00,1174.62,16,6,1,1219.2,1200.6599999999999,1227.9416666666666,1178.25
2023-01-01 17:00:00,1178.25,17,6,1,1174.62,1190.6899999999998,1214.1633333333332,1102.76
2023-01-01 18:00:00,1102.76,18,6,1,1178.25,1151.8766666666668,1183.4133333333332,1000.57
2023-01-01 19:00:00,1000.57,19,6,1,1102.76,1093.86,1147.26,1018.97
2023-01-01 20:00:00,1018.97,20,6,1,1000.57,1040.7666666666667,1115.7283333333332,978.58
2023-01-01 21:00:00,978.58,21,6,1,1018.97,999.3733333333333,1075.625,995.33
2023-01-01 22:00:00,995.33,22,6,1,978.58,997.6266666666666,1045.7433333333333,955.55
2023-01-01 23:00:00,955.55,23,6,1,995.33,976.4866666666667,1008.6266666666667,1053.67
2023-01-02 00:00:00,1053.67,0,0,0,955.55,1001.5166666666668,1000.445,1071.62
2023-01-02 01:00:00,1071.62,1,0,0,1053.67,1026.9466666666667,1012.2866666666667,1028.77
2023-01-02 02:00:00,1028.77,2,0,0,1071.62,1051.3533333333332,1013.9200000000001,1066.63
2023-01-02 03:00:00,1066.63,3,0,0,1028.77,1055.6733333333332,1028.595,1026.98
2023-01-02 04:00:00,1026.98,4,0,0,1066.63,1040.7933333333333,1033.8700000000001,1024.19
2023-01-02 05:00:00,1024.19,5,0,0,1026.98,1039.2666666666667,1045.3100000000002,1101.95
2023-01-02 06:00:00,1101.95,6,0,0,1024.19,1051.04,1053.3566666666668,1214.39
2023-01-02 07:00:00,1214.39,7,0,0,1101.95,1113.51,1077.1516666666666,1274.6
2023-01-02 08:00:00,1274.6,8,0,0,1214.39,1196.9799999999998,1118.1233333333332,1274.33
2023-01-02 09:00:00,1274.33,9,0,0,1274.6,1254.4399999999998,1152.74,1354.58
2023-01-02 10:00:00,1354.58,10,0,0,1274.33,1301.1699999999998,1207.34,1308.26
2023-01-02 11:00:00,1308.26,11,0,0,1354.58,1312.3899999999999,1254.6850000000002,1356.27
2023-01-02 12:00:00,1356.27,12,0,0,1308.26,1339.7033333333331,1297.0716666666665,1286.1
2023-01-02 13:00:00,1286.1,13,0,0,1356.27,1316.8766666666666,1309.0233333333333,1290.06
2023-01-02 14:00:00,1290.06,14,0,0,1286.1,1310.81,1311.6,1311.97
2023-01-02 15:00:00,1311.97,15,0,0,1290.06,1296.0433333333333,1317.8733333333332,1297.15
2023-01-02 16:00:00,1297.15,16,0,0,1311.97,1299.7266666666665,1308.3016666666665,1243.96
2023-01-02 17:00:00,1243.96,17,0,0,1297.15,1284.36,1297.585,1196.53
2023-01-02 18:00:00,1196.53,18,0,0,1243.96,1245.8799999999999,1270.9616666666668,1103.91
